tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt93874402,The Adventure of the Speckled Band,The Adventure of the Speckled Band,1949,27,Drama,6.4,42,7,writer,written by,1,10,Walter Doniger,1917,2011,"director,writer,producer"
tt59167520,Egberts Chemistry Set,Egberts Chemistry Set,1949,30,Comedy,6.4,10,8,writer,written by,1,3,Alan Lipscott,1894,1961,writer
tt14236021,Acting Lessons,Acting Lessons,1950,30,Comedy,6.7,8,7,writer,written by,1,19,Alan Lipscott,1894,1961,writer
tt43830519,Insurance,Insurance,1950,30,Comedy,7.6,11,8,writer,written by,1,17,Alan Lipscott,1894,1961,writer
tt40407516,Junior Drops Out,Junior Drops Out,1950,30,Comedy,6.7,10,8,writer,written by,1,15,Alan Lipscott,1894,1961,writer
tt15598431,Valentines Day,Valentines Day,1950,30,Comedy,6.9,8,8,writer,writer,1,20,Alan Lipscott,1894,1961,writer
tt54796698,A Passenger to Bali,A Passenger to Bali,1950,60,Drama,4.6,77,8,writer,by,2,29,Ellis St. Joseph,1911,1993,"writer,producer"
tt74773349,Christmas Show,Christmas Show,1952,30,"Comedy,Family",7.9,25,6,writer,written for television by,1,13,Joseph Quillan,1916,1961,writer
tt17357607,The Embezzled Dress,The Embezzled Dress,1952,30,"Comedy,Family",7.8,22,6,writer,written for television by,1,3,Joseph Quillan,1916,1961,writer
tt42104565,Blue Goldfish,Blue Goldfish,1952,30,"Comedy,Family",7.9,19,7,writer,written for television by,1,10,Joseph Quillan,1916,1961,writer
tt51169434,Living Statues,Living Statues,1952,30,"Comedy,Family",7.8,21,6,writer,written for television by,1,6,Joseph Quillan,1916,1961,writer
tt45717446,Madison Country Club,Madison Country Club,1952,30,"Comedy,Family",7.5,19,6,writer,written for television by,1,7,Joseph Quillan,1916,1961,writer
tt88079460,Mr Whipple,Mr Whipple,1952,30,"Comedy,Family",7.5,21,6,writer,written for television by,1,8,Joseph Quillan,1916,1961,writer
