tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt65986004,The Life of King Henry V,The Life of King Henry V,1951,133,Drama,6.8,11,6,writer,play,2,16,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt84789646,The Merchant of Venice,The Merchant of Venice,1955,118,Drama,8.0,12,6,writer,play,6,11,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt77128095,Julius Caesar,Julius Caesar,1959,105,Drama,7.0,6,6,writer,play,1,1,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt43427984,Julius Caesar,Julius Caesar,1960,120,Drama,5.8,17,6,writer,play,1,5,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt30724931,Hamlet,Hamlet,1970,85,Drama,7.9,70,7,writer,play,3,30,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt88283623,Henry IV,Henry IV,1995,175,Drama,7.3,27,6,writer,play,5,5,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt26640597,Richard II,Richard II,1997,132,Drama,8.0,103,6,writer,"play ""Richard II""",6,3,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt36722754,Twelfth Night II,Twelfth Night II,1957,90,Drama,6.4,9,6,writer,play,8,10,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt28513092,Twelfth Night,Twelfth Night,1970,103,Drama,6.9,116,6,writer,by,2,44,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt49434179,King Lear,King Lear,1998,150,Drama,7.5,282,6,writer,play,7,1,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt54440124,Macbeth on the Estate,Macbeth on the Estate,1997,82,Drama,7.7,100,6,writer,play,6,5,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt84520196,Hamlet,Hamlet,2004,110,Drama,7.3,22,7,writer,play,51,10,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt90256912,Julius Caesar,Julius Caesar,1949,60,Drama,7.1,14,8,writer,play,1,8,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt78336048,Julius Caesar,Julius Caesar,1955,60,Drama,6.2,17,8,writer,play,7,46,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt38325027,The Taming of the Shrew,The Taming of the Shrew,1950,60,Drama,6.3,22,8,writer,play,2,39,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous"
tt77359349,The Life of King Henry V,The Life of King Henry V,1951,133,Drama,6.8,11,7,writer,adaptation,2,16,Royston Morley,1912,1991,"producer,director,writer"
