tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt92135024,The Three Musketeers,The Three Musketeers,1950,60,Drama,4.5,17,6,writer,"novel ""Les trois mousquetaires""",1,6,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt24194184,Musketeers Twenty Years After,Mushketyory 20 let spustya,1993,300,"Adventure,Family,Music",6.1,440,6,writer,"novel ""Vingt ans après""",1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt65689514,A Toy for the Infanta,A Toy for the Infanta,1956,25,"Adventure,Family",6.0,6,6,writer,characters,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt60991430,The Duel,The Duel,1953,30,"Drama,Mystery,Thriller",6.6,30,6,writer,from a story by,5,26,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt61045982,Episode 11,Episode 11,1998,97,"Adventure,Drama,Romance",7.6,133,7,writer,novel,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt44059763,Episode 12,Episode 12,1998,102,"Adventure,Drama,Romance",7.6,109,7,writer,novel,1,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt35175614,Episode 13,Episode 13,1998,102,"Adventure,Drama,Romance",7.4,103,7,writer,novel,1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt22320075,Episode 14,Episode 14,1998,92,"Adventure,Drama,Romance",7.5,101,7,writer,novel,1,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt96300510,Dogtanian Meets His Match,Dogtanian Meets His Match,1982,24,"Adventure,Animation,Comedy",6.8,14,5,writer,"based on the novel ""The Three Musketeers"" by",1,6,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt43767914,Dogtanian Meets the Black Moustache,Dogtanian Meets the Black Moustache,1981,24,"Adventure,Animation,Comedy",7.0,38,5,writer,"based on the novel ""The Three Musketeers"" by",1,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt45860436,Dogtanian Meets the King,Dogtanian Meets the King,1982,24,"Adventure,Animation,Comedy",6.5,13,5,writer,"based on the novel ""The Three Musketeers"" by",1,7,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt15415935,Dogtanians Dream Comes True,Dogtanians Dream Comes True,1982,24,"Adventure,Animation,Comedy",6.5,22,5,writer,"based on the novel ""The Three Musketeers"" by",1,26,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt81143004,Dogtanians Journey,Dogtanians Journey,1981,24,"Adventure,Animation,Comedy",7.0,50,5,writer,"based on the novel ""The Three Musketeers"" by",1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt73811781,Juliette Kidnapped,Juliette Kidnapped,1982,24,"Adventure,Animation,Comedy",6.6,7,5,writer,"based on the novel ""The Three Musketeers"" by",1,9,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt52926686,Juliettes Secret,Juliettes Secret,1982,24,"Adventure,Animation,Comedy",7.3,12,5,writer,"based on the novel ""The Three Musketeers"" by",1,8,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt22465517,Monsieur Treville Captain of the Musketeers,Monsieur Treville Captain of the Musketeers,1982,24,"Adventure,Animation,Comedy",7.0,15,5,writer,"based on the novel ""The Three Musketeers"" by",1,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt26883232,Paris the City of Dreams,Paris the City of Dreams,1981,24,"Adventure,Animation,Comedy",7.4,16,5,writer,"based on the novel ""The Three Musketeers"" by",1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt26538271,The Three Invincible Musketeers,The Three Invincible Musketeers,1982,24,"Adventure,Animation,Comedy",7.1,16,5,writer,"based on the novel ""The Three Musketeers"" by",1,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt54068621,New York City Ballet George Balanchines The Nutcracker,New York City Ballet George Balanchines The Nutcracker,2011,100,"Music,Musical",8.2,14,8,writer,"adaptation ""Histoire d'un casse-noisette""",36,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt72264129,Les scélérats,Les scélérats,1979,83,"Drama,History",8.6,7,8,writer,novel,1,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt96346392,Le prisonnier du château dIf,Le prisonnier du château dIf,1979,85,"Drama,History",8.3,9,8,writer,novel,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt21519770,Le revenant,Le revenant,1979,85,"Drama,History",8.6,7,8,writer,novel,1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt13509117,Il complotto,Il complotto,1966,60,"Adventure,Romance",7.2,5,6,writer,novel,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt40144187,Le trésor du cardinal,Le trésor du cardinal,1979,59,"Drama,History",8.7,8,8,writer,novel,1,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt55464993,Friends and Enemies,Friends and Enemies,2014,59,"Adventure,Drama",7.6,771,7,writer,based on the characters of,1,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt60491183,The Good Soldier,The Good Soldier,2014,55,"Adventure,Drama",7.8,517,7,writer,based on the characters of,1,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt14298459,Sleight of Hand,Sleight of Hand,2014,55,"Adventure,Drama",7.6,607,7,writer,based on the characters of,1,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt31641461,The Homecoming,The Homecoming,2014,54,"Adventure,Drama",7.6,478,7,writer,based on the characters of,1,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt56505681,Commodities,Commodities,2014,55,"Adventure,Drama",7.7,557,7,writer,based on the characters of,1,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt76675918,A Rebellious Woman,A Rebellious Woman,2014,55,"Adventure,Drama",8.1,478,7,writer,based on the characters of,1,7,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt50714155,The Exiles,The Exiles,2014,55,"Adventure,Drama",7.9,465,7,writer,based on the characters of,1,6,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt28541592,The Challenge,The Challenge,2014,56,"Adventure,Drama",8.1,457,7,writer,based on the characters of,1,8,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt60064992,Knight Takes Queen,Knight Takes Queen,2014,55,"Adventure,Drama",8.5,503,7,writer,based on the characters of,1,9,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt78012615,Musketeers Dont Die Easily,Musketeers Dont Die Easily,2014,55,"Adventure,Drama",8.6,526,7,writer,based on the characters of,1,10,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt11308314,Keep Your Friends Close,Keep Your Friends Close,2015,59,"Adventure,Drama",7.8,410,7,writer,based on the characters of,2,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt96041050,An Ordinary Man,An Ordinary Man,2015,57,"Adventure,Drama",8.2,369,7,writer,based on the characters of,2,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt56590519,The Good Traitor,The Good Traitor,2015,57,"Adventure,Drama",7.6,339,8,writer,based on the characters of,2,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt61721948,The Return,The Return,2015,56,"Adventure,Drama",7.9,346,7,writer,based on the characters of,2,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt41760596,Emilie,Emilie,2015,59,"Adventure,Drama",7.7,334,8,writer,based on the characters of,2,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt73399384,Through a Glass Darkly,Through a Glass Darkly,2015,57,"Adventure,Drama",8.3,356,8,writer,based on the characters of,2,6,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt42960413,The Accused,The Accused,2015,55,"Adventure,Drama",8.8,368,7,writer,based on the characters of,2,9,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt16344366,Trial and Punishment,Trial and Punishment,2015,56,"Adventure,Drama",8.7,344,7,writer,based on the characters of,2,10,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt33317450,A Marriage of Inconvenience,A Marriage of Inconvenience,2015,57,"Adventure,Drama",8.0,305,7,writer,based on the characters of,2,7,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt29826228,The Prodigal Father,The Prodigal Father,2015,57,"Adventure,Drama",8.2,346,8,writer,based on the characters of,2,8,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt16026585,Spoils of War,Spoils of War,2016,58,"Adventure,Drama",7.9,293,7,writer,based on the characters of,3,1,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt21210523,The Hunger,The Hunger,2016,55,"Adventure,Drama",7.6,261,7,writer,based on the characters of,3,2,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt55686167,Brothers in Arms,Brothers in Arms,2016,55,"Adventure,Drama",7.7,237,7,writer,based on the characters of,3,3,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt11261432,To Play the King,To Play the King,2016,55,"Adventure,Drama",7.5,227,7,writer,based on the characters of,3,5,Alexandre Dumas,1802,1870,"writer,soundtrack"
tt24619416,The Queens Diamonds,The Queens Diamonds,2016,55,"Adventure,Drama",7.6,247,7,writer,based on the characters of,3,4,Alexandre Dumas,1802,1870,"writer,soundtrack"
