tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt88036706,The Tenderfeet,The Tenderfeet,1949,30,Western,7.5,78,10,producer,producer,1,9,Jack Chertok,1906,1995,"producer,miscellaneous"
tt70975212,A Broken Match,A Broken Match,1954,23,Western,8.3,37,8,producer,producer,4,13,Jack Chertok,1906,1995,"producer,miscellaneous"
tt75613159,A Pardon for Curley,A Pardon for Curley,1950,23,Western,7.7,47,9,producer,producer,1,41,Jack Chertok,1906,1995,"producer,miscellaneous"
tt52632287,A Stage for Mademoiselle,A Stage for Mademoiselle,1953,23,Western,7.6,34,8,producer,producer,3,27,Jack Chertok,1906,1995,"producer,miscellaneous"
tt41727346,Adventure at Arbuckle,Adventure at Arbuckle,1955,30,Western,9.0,35,8,producer,producer,4,45,Jack Chertok,1906,1995,"producer,miscellaneous"
tt78580142,Bad Medicine,Bad Medicine,1950,23,Western,7.9,44,9,producer,producer,2,13,Jack Chertok,1906,1995,"producer,miscellaneous"
tt23380633,Bandits in Uniform,Bandits in Uniform,1953,23,Western,8.0,34,9,producer,producer,3,20,Jack Chertok,1906,1995,"producer,miscellaneous"
tt11185798,Bankers Choice,Bankers Choice,1950,23,Western,7.8,40,9,producer,producer,2,11,Jack Chertok,1906,1995,"producer,miscellaneous"
tt29461605,Barnaby Boggs Esquire,Barnaby Boggs Esquire,1950,23,Western,7.8,53,9,producer,producer,1,21,Jack Chertok,1906,1995,"producer,miscellaneous"
tt37930526,Behind the Law,Behind the Law,1951,23,Western,7.9,41,8,producer,producer,2,21,Jack Chertok,1906,1995,"producer,miscellaneous"
tt47873179,Best Laid Plans,Best Laid Plans,1952,30,Western,7.7,27,9,producer,producer,3,16,Jack Chertok,1906,1995,"producer,miscellaneous"
tt28847451,Billie the Great,Billie the Great,1950,30,Western,8.2,50,8,producer,producer,1,29,Jack Chertok,1906,1995,"producer,miscellaneous"
tt83818871,Black Gold,Black Gold,1953,23,Western,7.3,29,8,producer,producer,3,31,Jack Chertok,1906,1995,"producer,miscellaneous"
tt57457870,Bounty Hunter,Bounty Hunter,1955,30,Western,8.6,30,9,producer,producer,4,37,Jack Chertok,1906,1995,"producer,miscellaneous"
